,Date,AAPL,AMD,AMZN,GOOG,IBM,INTC,LCID,META,MSFT,TSLA
170,2023-03-03,70732300,54536200,55759600,30242500,2860300,36744900,19535300,45877700,30760100,154193300
171,2023-03-06,87558000,0,0,28288200,3131200,0,0,0,24109800,0
172,2023-03-07,0,70959000,0,0,0,0,0,0,0,0
173,2023-03-08,47204800,69529800,44899100,25395200,0,36071900,10208000,19432400,0,0
174,2023-03-09,0,0,0,0,0,54886100,0,0,0,0
175,2023-03-10,0,0,0,0,0,65187000,0,0,0,0
176,2023-03-13,84457100,65269100,72397100,31508600,8188400,50977000,17990500,24728000,33339700,167790300
177,2023-03-14,73695900,66616300,60912700,32303900,0,47689800,0,41642600,33620300,143717900
178,2023-03-15,77167900,86177400,70731800,38367300,5989300,49322800,17736200,42123600,46028000,0
179,2023-03-16,76161100,115839200,84446900,54499500,6438700,75779500,17161400,50447100,54768800,121136800
180,2023-03-17,0,94080800,0,76140300,0,0,28236500,0,69527400,0
181,2023-03-20,73641400,92008900,0,26033900,4588300,0,13236000,0,0,129684400
182,2023-03-21,73938300,0,58597300,33122800,0,0,17486400,0,0,153391400
183,2023-03-22,0,110816300,0,0,0,0,0,0,0,0
184,2023-03-23,67622100,84088900,0,31385800,0,43785500,12067300,27389700,0,0
185,2023-03-24,59196500,0,56095400,25236200,3812300,55912100,8224700,27716400,28172000,0
186,2023-03-27,0,0,0,0,6524100,0,0,0,0,0
187,2023-03-28,0,0,0,0,2888900,37407900,0,19127300,0,0
188,2023-03-29,51305700,55326000,49783300,0,0,85556200,30158000,18851100,25087000,123660000
189,2023-03-30,49501700,0,53633400,0,0,70077600,0,22608300,0,0
190,2023-03-31,68749800,55861100,56750300,28108000,4524700,59765000,19553600,25440300,32766000,170222100
191,2023-04-03,56976200,0,41135700,20719900,3840100,0,0,17924600,24883300,0
192,2023-04-04,0,0,48662500,20377200,0,55714100,0,21026400,0,0
193,2023-04-05,0,0,0,0,2898700,39615700,0,0,0,0
194,2023-04-06,45390100,47778400,43808000,34684200,0,28551900,8154600,26104400,29770300,123857900
195,2023-04-10,47716900,52536300,37261200,0,2614400,0,11520900,16106100,23103000,142154600
196,2023-04-11,0,0,0,0,0,0,20643700,0,0,115770900
197,2023-04-12,0,0,0,0,0,0,0,0,0,0
198,2023-04-13,68445600,0,67925100,21650700,0,29722300,10570600,23310400,24222700,112933000
199,2023-04-14,49386500,0,51450500,20758700,0,0,30486200,21591200,0,96438700
200,2023-04-17,41516200,0,0,29043400,0,29601100,13650500,0,0,116662200
201,2023-04-18,49923000,0,0,0,0,0,0,0,0,0
202,2023-04-19,47720200,37344500,58398900,16732000,0,25746600,0,15898100,17150300,125732700
203,2023-04-20,52456400,47082700,57696900,22515300,0,30255100,0,0,23244400,0
204,2023-04-21,0,0,86774200,0,0,0,0,17717200,21676400,123539000
205,2023-04-24,41949600,0,0,21410900,0,0,0,0,0,0
206,2023-04-25,0,0,0,0,4275400,0,0,0,0,121999300
207,2023-04-26,45498800,0,0,0,4070200,0,33362500,0,0,0
208,2023-04-27,64902300,53087200,149961200,38235200,3204900,60186200,33947100,0,46462600,127015200
209,2023-04-28,55209200,50652100,0,23957900,0,0,0,39554000,36446700,122515800
210,2023-05-01,52472900,0,0,0,0,0,0,29143900,0,0
211,2023-05-02,0,70483500,73469400,0,0,0,0,0,0,0
212,2023-05-03,0,0,0,0,0,45554500,12392100,0,0,119728000
213,2023-05-04,81235400,122840500,0,0,0,46104000,0,0,0,0
214,2023-05-05,113316400,78407400,56912900,20705300,4970800,0,16456500,26978900,28181200,107440900
215,2023-05-08,55962800,95503200,49430900,17266000,0,30882800,0,16400500,0,0
216,2023-05-09,0,68674800,44089400,0,0,0,29222500,16865600,0,88965000
217,2023-05-10,53724500,95619500,78627600,47533500,4189200,0,0,0,30078000,0
218,2023-05-11,0,0,74924800,57115100,0,0,0,20449000,31680200,103889900
219,2023-05-12,0,0,0,31272500,4560500,0,0,0,0,0
220,2023-05-15,0,51749200,53011100,22107900,2915700,28717500,11608800,20653200,16336500,0
221,2023-05-16,42110300,90622900,71472900,32370100,2748400,0,0,18163800,26730300,98288800
222,2023-05-17,57951600,75240900,65655200,26659600,4515100,0,12650900,21193100,24315000,125473600
223,2023-05-18,65496700,74338700,73174100,27014500,3797900,36529200,10090300,22943300,27276000,109520300
224,2023-05-19,0,0,0,0,4305800,40668700,0,0,27529500,136024200
225,2023-05-22,43570900,65424200,0,29760200,0,28693400,17459600,27738500,24115700,132001400
226,2023-05-23,0,73099100,67576300,0,4592300,0,14970200,0,0,0
227,2023-05-24,45143500,65910500,63487900,0,0,0,8218900,17724300,0,137605100
228,2023-05-25,56058300,108514700,0,0,4102900,0,11171000,0,43301700,0
229,2023-05-26,54835000,92922800,96779900,25154700,5612600,71910600,14426600,25727200,36630600,162061500
230,2023-05-30,55964400,0,0,0,0,54874800,0,0,0,128818700
231,2023-05-31,0,0,0,0,11590200,136243800,32478100,25473700,0,150711700
232,2023-06-01,68901800,66032900,54375100,25017700,4136100,0,0,25609500,26773900,148029900
233,2023-06-02,0,0,0,19362400,5373900,0,52308100,0,25864000,164129000
234,2023-06-05,0,52602900,47950100,22672500,0,0,0,20742900,21307100,0
